Bat1,Wkts,Conc,Ct,St,,Opposition,Ground,Start DateAscending,
DNB,1,34,0,0,,v West Indies,Providence,10 Jul 2022,ODI # 4421
DNB,0,12,0,0,,v West Indies,Providence,13 Jul 2022,ODI # 4426
DNB,2,24,0,0,,v West Indies,Providence,16 Jul 2022,ODI # 4431
DNB,1,57,0,0,,v Zimbabwe,Harare,5 Aug 2022,ODI # 4441
0,4,17,0,0,,v Zimbabwe,Harare,10 Aug 2022,ODI # 4443
10*,0,19,0,0,,v India,Mirpur,4 Dec 2022,ODI # 4493
DNB,1,43,0,0,,v India,Mirpur,7 Dec 2022,ODI # 4496
13,1,66,0,0,,v India,Chattogram,10 Dec 2022,ODI # 4499
0*,0,42,0,0,,v England,Mirpur,1 Mar 2023,ODI # 4525
0*,0,63,0,0,,v England,Mirpur,3 Mar 2023,ODI # 4528
0,1,25,1,0,,v England,Chattogram,6 Mar 2023,ODI # 4531
1*,0,31,0,0,,v Ireland,Sylhet,18 Mar 2023,ODI # 4539
0,4,44,0,0,,v Ireland,Chelmsford,14 May 2023,ODI # 4578
3*,0,10,0,0,,v Afghanistan,Chattogram,5 Jul 2023,ODI # 4615
7*,2,60,1,0,,v Afghanistan,Chattogram,8 Jul 2023,ODI # 4619
0,0,12,0,0,,v Sri Lanka,Pallekele,31 Aug 2023,ODI # 4629
DNB,3,50,0,0,,v India,Colombo (RPS),15 Sep 2023,ODI # 4645
