"","year","month","day","districts","no.of.dist","District","Count","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"39",2025,2,8,"Sunamganj, Chattogram ",2,"Munshiganj",15,"Sunamganj","Chattogram","","","","","","",""
"40",2025,2,9,"Chuadanga, Nilphamari, Cox’s Bazar, Kushtia, Kishoreganj ",5,"Mymensingh",21,"Chuadanga","Nilphamari","Cox’s","Bazar","Kushtia","Kishoreganj","","",""
"41",2025,2,10,NA,1,NA,9,NA,"","","","","","","",""
"42",2025,2,11,"Noakhali, Barguna, Khulna, Pabna, Brahmanbaria, Natore ",6,"Naogaon",1,"Noakhali","Barguna","Khulna","Pabna","Brahmanbaria","Natore","","",""
"43",2025,2,12,"Bogura, Chuadanga, Rangpur, Cumilla, Dhaka, Pabna, Chattogram, Rajbari ",8,"Narayanganj",12,"Bogura","Chuadanga","Rangpur","Cumilla","Dhaka","Pabna","Chattogram","Rajbari",""
"44",2025,2,13,"Munshiganj, Mymensingh ",2,"Narsingdi",3,"Munshiganj","Mymensingh","","","","","","",""
"45",2025,2,14,NA,1,"Natore",11,NA,"","","","","","","",""
"46",2025,2,15,"Cox’s Bazar,  Mymensingh, Noagaon, Munshiganj, Kishoreganj ",5,"Netrokona",2,"Cox’s","Bazar","Mymensingh","Noagaon","Munshiganj","Kishoreganj","","",""
"47",2025,2,16,"Gazipur, Kushtia, Gaibandha, Madaripur, Sylhet, Dhaka, Rajbari, Narayanganj, Mymensingh ",9,"Nilphamari",4,"Gazipur","Kushtia","Gaibandha","Madaripur","Sylhet","Dhaka","Rajbari","Narayanganj","Mymensingh"
"48",2025,2,17,"Feni, Dhaka, Kushtia, Munshiganj, Natore ",5,"Noagaon",7,"Feni","Dhaka","Kushtia","Munshiganj","Natore","","","",""
"49",2025,2,18,"Kishoreganj, Jashore, Cox’s Bazar, Feni, Cumilla ",5,"Noakhali",8,"Kishoreganj","Jashore","Cox’s","Bazar","Feni","Cumilla","","",""
"50",2025,2,19,"Narsingdi, Tangail, Narayanganj, Gopalganj, Chattogram, Dinajpur, Brahmanbaria ",7,"Pabna",7,"Narsingdi","Tangail","Narayanganj","Gopalganj","Chattogram","Dinajpur","Brahmanbaria","",""
"51",2025,2,20,"Kushtia, Barishal, Habiganj, Satkhira ",4,"Panchagarh",1,"Kushtia","Barishal","Habiganj","Satkhira","","","","",""
"52",2025,2,21,"Dinajpur, Manikganj, Patuakhali ",3,"Patuakhali",6,"Dinajpur","Manikganj","Patuakhali","","","","","",""
"53",2025,2,22,"Bogura, Cox’s Bazar, Jamalpur, Narsingdi, Gopalganj, Mymensingh ",6,"Pirojpur",1,"Bogura","Cox’s","Bazar","Jamalpur","Narsingdi","Gopalganj","Mymensingh","",""
"54",2025,2,23,"Sylhet, Kushtia, Sherpur, Mymensingh, Cox’s Bazar, Dinajpur ",6,"Rajbari",11,"Sylhet","Kushtia","Sherpur","Mymensingh","Cox’s","Bazar","Dinajpur","",""
"55",2025,2,24,NA,1,"Rajshahi",5,NA,"","","","","","","",""
"56",2025,2,25,"Jhenaidah, Tangail, Jamalpur, Rajbari, Kushtia ",5,"Rangamati",1,"Jhenaidah","Tangail","Jamalpur","Rajbari","Kushtia","","","",""
"57",2025,2,26,"Bandarban, Gaibandha ",2,"Rangpur",8,"Bandarban","Gaibandha","","","","","","",""
"58",2025,2,27,"Chattogram, Narayanganj, Tangail, Bogura ",4,"Satkhira",9,"Chattogram","Narayanganj","Tangail","Bogura","","","","",""
"59",2025,2,28,"Lalmonirhat, Munshiganj ",2,"Shariatpur",1,"Lalmonirhat","Munshiganj","","","","","","",""
"60",2025,3,1,"Tangail, Chattogram ",2,"Sherpur",1,"Tangail","Chattogram","","","","","","",""
"61",2025,3,2,"Munshiganj, Dinajpur, Chattogram ",3,"Sirajganj",2,"Munshiganj","Dinajpur","Chattogram","","","","","",""
"62",2025,3,3,"Rajshahi, Moulvibazar, Chattogram, Bogura, Chuadanga, Munshiganj, Lakshmipur ",7,"Sunamganj",4,"Rajshahi","Moulvibazar","Chattogram","Bogura","Chuadanga","Munshiganj","Lakshmipur","",""
"63",2025,3,4,"Natore, Tangail, Satkhira, Manikganj ",4,"Sylhet",11,"Natore","Tangail","Satkhira","Manikganj","","","","",""
"64",2025,3,5,"Moulvibazar, Barishal, Rajbari ",3,"Tangail",12,"Moulvibazar","Barishal","Rajbari","","","","","",""
"65",2025,3,6,"Jhenaidah, Bogura ",2,"Thakurgaon",1,"Jhenaidah","Bogura","","","","","","",""
"66",2025,3,7,"Kishoreganj, Joypurhat ",2,"#REF!",1,"Kishoreganj","Joypurhat","","","","","","",""
"67",2025,3,8,"Rajshahi, Jamalpur, Chattogram, Madaripur, Patuakhali, Rajbari ",6,"#VALUE!",354,"Rajshahi","Jamalpur","Chattogram","Madaripur","Patuakhali","Rajbari","","",""
"68",2025,3,9,"Bogura, Mymensingh, Cox’s Bazar, Kurigram ",4,"",0,"Bogura","Mymensingh","Cox’s","Bazar","Kurigram","","","",""
"69",2025,3,10,"Mymensingh, Tangail, Noagaon, Brahmanbaria ",4,"",0,"Mymensingh","Tangail","Noagaon","Brahmanbaria","","","","",""
"70",2025,3,11,"Noagaon ",1,"",0,"Noagaon","","","","","","","",""
"71",2025,3,12,"Noagaon, Narayanganj, Barishal, Natore, Bogura ",5,"",0,"Noagaon","Narayanganj","Barishal","Natore","Bogura","","","",""
"72",2025,3,13,"Chattogram, Mymensingh ",2,"",0,"Chattogram","Mymensingh","","","","","","",""
"73",2025,3,14,"Pabna, Cox’s Bazar, Faridpur ",3,"",0,"Pabna","Cox’s","Bazar","Faridpur","","","","",""
"74",2025,3,15,"Gazipur, Cumilla, Tangail ",3,"",0,"Gazipur","Cumilla","Tangail","","","","","",""
"75",2025,3,16,"Faridpur, Barguna, Barishal ",3,"",0,"Faridpur","Barguna","Barishal","","","","","",""
"76",2025,3,17,"Bogura, Cox’s Bazar ",2,"",0,"Bogura","Cox’s","Bazar","","","","","",""
"77",2025,3,18,NA,1,"",0,NA,"","","","","","","",""
"78",2025,3,19,"Jashore, Bhola, Kurigram,  Joypurhat, Thakurgaon ",5,"",0,"Jashore","Bhola","Kurigram","Joypurhat","Thakurgaon","","","",""
"79",2025,3,20,"Pabna, Chattogram, Cumilla ",3,"",0,"Pabna","Chattogram","Cumilla","","","","","",""
"80",2025,3,21,"Rajbari, Bogura, Cumilla, Noakhali, Bhola, Barishal",6,"",0,"Rajbari","Bogura","Cumilla","Noakhali","Bhola","Barishal","","",""
"81",2025,3,22,"Kushtia, Satkhira, Kurigram, Rangpur ",4,"",0,"Kushtia","Satkhira","Kurigram","Rangpur","","","","",""
"82",2025,3,23,"Dinajpur, Gazipur, Tangail, Bogura, Mymensingh ",5,"",0,"Dinajpur","Gazipur","Tangail","Bogura","Mymensingh","","","",""
"83",2025,3,24,NA,4,"",0,"Mymensingh","Jamalpur","Madaripur","Chattogram","","","","",""
"84",2025,3,25,"Mymensingh, Jamalpur, Madaripur, Chattogram ",1,"",0,"#REF!","","","","","","","",""
"85",2025,3,26,NA,1,"",0,NA,"","","","","","","",""
"86",2025,3,27,"Natore, Kushtia, Kishoreganj, Chattogram, Chuadanga, Jhenaidah ",6,"",0,"Natore","Kushtia","Kishoreganj","Chattogram","Chuadanga","Jhenaidah","","",""
"87",2025,3,28,"Kushtia, Munshiganj, Bogura, Panchagarh, Dinajpur, Rajbari, Jhenaidah ",7,"",0,"Kushtia","Munshiganj","Bogura","Panchagarh","Dinajpur","Rajbari","Jhenaidah","",""
"88",2025,3,29,"Lakshmipur, Barguna, Chattogram, Bogura, Gaibandha ",5,"",0,"Lakshmipur","Barguna","Chattogram","Bogura","Gaibandha","","","",""
"89",2025,3,30,NA,1,"",0,NA,"","","","","","","",""
"90",2025,3,31,NA,1,"",0,NA,"","","","","","","",""
"91",2025,4,1,"Jashore, Kushtia, Barishal, Barguna ",4,"",0,"Jashore","Kushtia","Barishal","Barguna","","","","",""
"92",2025,4,2,"Jhalakathi, Rajbari, Dhaka ",3,"",0,"Jhalakathi","Rajbari","Dhaka","","","","","",""
"93",2025,4,3,"Bogura, Chattogram, Gazipur, Brahmanbaria, Moulvibazar ",5,"",0,"Bogura","Chattogram","Gazipur","Brahmanbaria","Moulvibazar","","","",""
