"","Start_Time","Start_Lat","Start_Lng","City","County","State","Weather_Timestamp","Temperature.F.","Humidity...","Weather_Condition","Time","... <- NULL"
"39","2016-02-09 05:17:08",39.782578,-84.178688,"Dayton","Montgomery","OH","2016-02-09 04:58:00",22.8,89,"Light Snow","05:17:08","04:58:00"
"40","2016-02-09 05:27:20",40.007626,-82.912155,"Columbus","Franklin","OH","2016-02-09 05:27:00",26.6,86,"Light Snow","05:27:20","05:27:00"
"41","2016-02-09 05:40:57",39.447502,-84.191208,"Lebanon","Warren","OH","2016-02-09 05:45:00",21,85,"Light Snow","05:40:57","05:45:00"
"42","2016-02-09 05:47:16",39.787731,-84.173439,"Dayton","Montgomery","OH","2016-02-09 05:58:00",23,86,"Light Snow","05:47:16","05:58:00"
"43","2016-02-09 05:56:10",39.426277,-83.624611,"Sabina","Clinton","OH","2016-02-09 05:54:00",19.9,89,"Light Snow","05:56:10","05:54:00"
"44","2016-02-09 06:06:45",39.978306,-82.852554,"Columbus","Franklin","OH","2016-02-09 05:51:00",25,88,"Light Snow","06:06:45","05:51:00"
"45","2016-02-09 06:13:33",39.84182,-84.189606,"Dayton","Montgomery","OH","2016-02-09 06:03:00",23,88,"Light Snow","06:13:33","06:03:00"
"46","2016-02-09 06:12:49",39.953625,-82.958954,"Columbus","Franklin","OH","2016-02-09 05:51:00",25,88,"Light Snow","06:12:49","05:51:00"
"47","2016-02-09 06:21:50",40.053082,-83.049644,"Columbus","Franklin","OH","2016-02-09 06:22:00",26.1,84,"Light Snow","06:21:50","06:22:00"
"48","2016-02-09 06:20:46",39.936874,-82.878723,"Columbus","Franklin","OH","2016-02-09 06:36:00",24.8,86,"Light Snow","06:20:46","06:36:00"
"49","2016-02-09 06:34:41",39.780643,-84.16349,"Dayton","Montgomery","OH","2016-02-09 06:51:00",23,86,"Light Snow","06:34:41","06:51:00"
"50","2016-02-09 06:41:09",39.773193,-84.187454,"Dayton","Montgomery","OH","2016-02-09 06:51:00",23,86,"Light Snow","06:41:09","06:51:00"
"51","2016-02-09 06:48:18",39.77858,-84.204681,"Dayton","Montgomery","OH","2016-02-09 06:56:00",21.9,92,"Light Snow","06:48:18","06:56:00"
"52","2016-02-09 06:53:09",39.792988,-84.20607,"Dayton","Montgomery","OH","2016-02-09 06:56:00",21.9,92,"Light Snow","06:53:09","06:56:00"
"53","2016-02-09 06:54:31",39.770382,-84.194901,"Dayton","Montgomery","OH","2016-02-09 06:56:00",21.9,92,"Light Snow","06:54:31","06:56:00"
"54","2016-02-09 07:03:20",39.976398,-83.119225,"Columbus","Franklin","OH","2016-02-09 07:20:00",21.2,93,"Light Snow","07:03:20","07:20:00"
"55","2016-02-09 07:05:37",39.6395,-84.231361,"Dayton","Montgomery","OH","2016-02-09 07:12:00",21,85,"Light Snow","07:05:37","07:12:00"
"56","2016-02-09 07:04:58",39.232578,-84.159286,"Goshen","Clermont","OH","2016-02-09 06:56:00",21,93,"Light Snow","07:04:58","06:56:00"
"57","2016-02-09 07:15:41",39.746593,-84.23912,"Dayton","Montgomery","OH","2016-02-09 07:08:00",21.9,92,"Light Snow","07:15:41","07:08:00"
"58","2016-02-09 07:41:01",39.742783,-84.182472,"Dayton","Montgomery","OH","2016-02-09 07:58:00",22.5,90,"Light Snow","07:41:01","07:58:00"
"59","2016-02-09 07:42:43",39.75452,-84.159279,"Dayton","Montgomery","OH","2016-02-09 07:58:00",22.5,90,"Light Snow","07:42:43","07:58:00"
"60","2016-02-09 07:42:11",39.749916,-84.139359,"Dayton","Montgomery","OH","2016-02-09 07:58:00",22.5,90,"Light Snow","07:42:11","07:58:00"
"61","2016-02-09 07:46:41",40.100903,-82.984108,"Columbus","Franklin","OH","2016-02-09 07:50:00",24.8,86,"Light Snow","07:46:41","07:50:00"
"62","2016-02-09 07:54:44",39.772808,-84.201851,"Dayton","Montgomery","OH","2016-02-09 07:54:00",21.2,93,"Light Snow","07:54:44","07:54:00"
"63","2016-02-09 08:06:39",39.492485,-84.131798,"Waynesville","Warren","OH","2016-02-09 08:14:00",21,81,"Light Snow","08:06:39","08:14:00"
"64","2016-02-09 08:12:44",39.570904,-84.251724,"Springboro","Warren","OH","2016-02-09 08:14:00",21,81,"Light Snow","08:12:44","08:14:00"
"65","2016-02-09 08:10:20",39.834282,-82.74382,"Carroll","Fairfield","OH","2016-02-09 07:50:00",21.9,85,"Light Snow","08:10:20","07:50:00"
"66","2016-02-09 08:23:36",39.622787,-84.229858,"Miamisburg","Montgomery","OH","2016-02-09 08:14:00",21,81,"Light Snow","08:23:36","08:14:00"
"67","2016-02-09 08:24:29",39.429871,-84.079666,"Oregonia","Warren","OH","2016-02-09 08:14:00",21,81,"Light Snow","08:24:29","08:14:00"
"68","2016-02-09 08:20:30",41.407391,-81.646767,"Independence","Cuyahoga","OH","2016-02-09 08:28:00",32,82,"Overcast","08:20:30","08:28:00"
"69","2016-02-09 08:35:53",41.424404,-81.578674,"Maple Heights","Cuyahoga","OH","2016-02-09 08:28:00",32,82,"Overcast","08:35:53","08:28:00"
"70","2016-02-09 10:06:46",39.89217,-83.039169,"Grove City","Franklin","OH","2016-02-09 09:50:00",21.2,93,"Overcast","10:06:46","09:50:00"
"71","2016-02-09 11:09:37",41.022358,-83.650345,"Findlay","Hancock","OH","2016-02-09 11:04:00",27,81,"Light Snow","11:09:37","11:04:00"
"72","2016-02-10 06:18:16",39.206806,-84.053253,"Goshen","Clermont","OH","2016-02-10 06:16:00",16.2,81,"Light Snow","06:18:16","06:16:00"
