Subject,A+,A,A-,B,C,F
Bangla,3,16,7,0,1,0
English,18,8,1,0,0,0
Science,8,12,4,1,0,2
BGS,7,15,3,2,0,0
Religion,22,4,0,1,0,0
Agriculture,15,10,1,1,0,0
Arts & crafts,20,6,1,0,0,0
Work & Life,12,14,0,1,0,0
Math,1,10,9,2,2,3
ICT,22,4,1,0,0,0
Physical Ed,16,9,1,1,0,0
